customer_key,first_name,last_name,email,phone,date_of_birth,gender,address_line1,address_line2,city,state,postal_code,country,customer_segment,loyalty_tier,join_date
CUST-000001,John,Combs,johnwells@example.org,001-437-645-2991,1951-08-25,Other,9663 Brittany Village,Apt. 149,Port Tonyaton,MI,70328,USA,New,Bronze,2022-12-06
CUST-000002,Mitchell,Hunter,alexander67@example.org,(657)726-2849x87769,1998-06-29,Male,7379 Rogers Park,Suite 273,Laurenmouth,KY,78640,USA,New,Gold,2024-02-14
CUST-000003,Joshua,Smith,christophercortez@example.com,+1-837-577-0143,1964-02-16,Other,8856 Bell Motorway Suite 443,,Lake Jamesville,WA,70737,USA,New,Gold,2024-12-09
CUST-000004,Hannah,Lee,lhill@example.net,+1-641-234-3524x082,2006-03-20,Other,271 Audrey Mountains Suite 752,,West Shelleyfort,DE,09065,USA,VIP,Gold,2025-09-09
CUST-000005,Charles,Soto,hernandezlisa@example.com,831-986-9993,2002-01-26,Male,649 Chelsea Streets Apt. 334,Apt. 232,East Aaronmouth,UT,78333,USA,New,Gold,2024-01-15
CUST-000006,Antonio,Roberts,jacqueline71@example.net,649.436.1832,1949-05-03,Other,9947 Taylor Hollow,Suite 488,Kimton,FM,57127,USA,New,,2024-03-31
CUST-000007,Cassandra,Johnson,suzannehuff@example.net,001-604-490-2787,2007-08-23,Male,717 Ortiz Islands Apt. 256,,Robertsfurt,GU,72603,USA,Regular,Gold,2025-01-15
CUST-000008,Christopher,King,cordovarichard@example.net,9879603859,1992-09-18,Male,8247 Martinez Roads,,Lake Eric,OH,02293,USA,Regular,Bronze,2022-12-12
CUST-000009,Christopher,Gay,murraydavid@example.org,448.346.7737x8263,1962-03-29,Male,8404 Monroe Prairie Suite 278,Suite 558,Gibsonmouth,VI,25228,USA,Regular,Gold,2024-06-29
CUST-000010,John,Reyes,vwilliams@example.com,001-366-927-0289x517,1945-10-21,Male,2174 Hanson Locks,,Port Markside,MS,42006,USA,Regular,Bronze,2025-10-11
CUST-000011,Paige,Freeman,williamsonjimmy@example.net,631-761-1724x0050,1968-06-14,Other,86922 Christian Ways,Suite 937,East Steven,KS,60737,USA,VIP,,2024-09-18
CUST-000012,Albert,Ballard,erica21@example.com,(894)764-7436x713,1981-01-18,Other,64090 Wall Heights Apt. 953,Apt. 942,Lake Debbieport,WY,58280,USA,Regular,Gold,2023-08-08
CUST-000013,Michael,Anderson,mark62@example.org,(685)788-4247,1995-07-03,Other,23685 Krystal Bridge Suite 817,Suite 496,Danielbury,NJ,03781,USA,New,Bronze,2022-12-08
